고추(꽈리),채소,냉장,7
무,채소,냉장,10
깍두기무,채소,냉장,10
총각무,채소,냉장,10
오이,채소,냉장,7
가지,채소,냉장,7
생강,채소,냉장,14
연근,채소,냉장,7
우엉,채소,냉장,7
더덕,채소,냉장,14
도라지,채소,냉장,14
비트,채소,냉장,10
마(장마),채소,냉장,14
파프리카,채소,냉장,10
피망,채소,냉장,10
토마토,채소,냉장,7
방울토마토,채소,냉장,7
브로콜리,채소,냉장,7
콜리플라워,채소,냉장,7
옥수수,채소,냉장,3
아보카도,채소,실온,5
새송이버섯,버섯,냉장,7
느타리버섯,버섯,냉장,7
팽이버섯,버섯,냉장,7
표고버섯(생),버섯,냉장,7
표고버섯(건),버섯,실온,365
양송이버섯,버섯,냉장,7
목이버섯(건),버섯,실온,365
우유,유제품,냉장,7
치즈(슬라이스),유제품,냉장,30
모짜렐라치즈,유제품,냉장,30
피자치즈,유제품,냉장,30
파마산치즈,유제품,냉장,180
크림치즈,유제품,냉장,21
체다치즈,유제품,냉장,60
요거트,유제품,냉장,14
그릭요거트,유제품,냉장,14
생크림,유제품,냉장,5
버터,유제품,냉장,90
마가린,유제품,냉장,90
두부,두부류,냉장,10
순두부,두부류,냉장,10
연두부,두부류,냉장,10
두부면,두부류,냉장,14
유부,두부류,냉장,14
낫토,콩가공품,냉장,7
두유,콩가공품,실온,180
콩(서리태),콩,실온,365
콩(백태),콩,실온,365
팥,콩,실온,365
녹두,콩,실온,365
김치,김치류,냉장,180
단무지,절임류,냉장,30
피클,절임류,냉장,30
식빵,빵류,실온,5
떡(떡볶이),기타,냉장,5
떡(떡국),기타,냉장,5
만두(냉동),가공식품,냉동,270
묵(도토리),기타,냉장,7
곤약,기타,냉장,30
사과,과일,냉장,21
바나나,과일,실온,7
딸기,과일,냉장,3
포도,과일,냉장,7
귤,과일,실온,14
배,과일,냉장,14
오렌지,과일,냉장,14
자몽,과일,냉장,14
레몬,과일,냉장,14
라임,과일,냉장,14
키위,과일,냉장,14
파인애플,과일,실온,5
복숭아,과일,실온,5
자두,과일,냉장,7
수박,과일,냉장,5
멜론,과일,냉장,5
감(단감),과일,실온,7
감(홍시),과일,냉장,5
참외,과일,냉장,7
무화과,과일,냉장,3
석류,과일,냉장,14
블루베리,과일,냉장,7
체리,과일,냉장,7
망고,과일,실온,5
식용유,조미료,실온,730
올리브유,조미료,실온,730
간장,조미료,실온,730
고추장,조미료,냉장,730
된장,조미료,냉장,730
쌈장,조미료,냉장,180
춘장,조미료,냉장,730
참기름,조미료,실온,365
들기름,조미료,냉장,180
케첩,조미료,냉장,180
마요네즈,조미료,냉장,90
머스타드,조미료,냉장,180
굴소스,조미료,냉장,365
돈까스소스,조미료,냉장,365
칠리소스,조미료,냉장,365
스리라차,조미료,냉장,730
핫소스,조미료,냉장,730
식초,조미료,실온,9999
발사믹식초,조미료,실온,9999
물엿,조미료,실온,9999
올리고당,조미료,실온,9999
미림(맛술),조미료,실온,730
쯔유,조미료,냉장,365
겨자,조미료,냉장,180
와사비,조미료,냉장,180
혼다시,조미료,실온,365
치킨스톡,조미료,실온,365
미원,조미료,실온,9999
꿀,조미료,실온,9999
소금,조미료,실온,9999
설탕,조미료,실온,9999
흑설탕,조미료,실온,9999
맛소금,조미료,실온,9999
천일염,조미료,실온,9999
고춧가루,조미료,냉장,365
후추,조미료,실온,730
깨,조미료,실온,365
월계수잎,향신료,실온,365
파슬리(건),향신료,실온,365
바질(건),향신료,실온,365
정향(건),향신료,실온,365
팔각(건),향신료,실온,365
쌀,곡류,실온,365
현미,곡류,실온,365
찹쌀,곡류,실온,365
보리,곡류,실온,365
흑미,곡류,실온,365
율무,곡류,실온,365
콩(렌틸),콩,실온,365
콩(병아리),콩,실온,365
밀가루,곡류,실온,365
부침가루,곡류,실온,365
튀김가루,곡류,실온,365
빵가루,곡류,실온,365
국수(소면),곡류,실온,730
당면,곡류,실온,730
스파게티면,곡류,실온,730
파스타면(푸실리),곡류,실온,730
파스타면(펜네),곡류,실온,730
우동면(생),곡류,냉장,14
쌀국수(면),곡류,실온,730
쫄면(면),곡류,냉장,30
냉면(면),곡류,냉장,30
라면,가공식품,실온,180
햇반,가공식품,실온,270
시리얼,가공식품,실온,180
누룽지,곡류,실온,365
카레(가루),가공식품,실온,365
짜장(가루),가공식품,실온,365
잼,가공식품,냉장,180
땅콩버터,가공식품,실온,180
아몬드,견과,실온,180
호두,견과,실온,180
땅콩,견과,실온,180
잣,견과,냉동,365
해바라기씨,견과,실온,180
